model,dataset_name,checkpoint,best_epoch,best_valid_ndcg10,valid_recall@5,valid_recall@10,valid_recall@20,valid_ndcg@5,valid_ndcg@10,valid_ndcg@20,test_recall@5,test_recall@10,test_recall@20,test_ndcg@5,test_ndcg@10,test_ndcg@20
sasrec,ml-32m,/Users/wmyh0416/Desktop/Rec/outputs/sasrec_ml32m_final/best.pt,3,0.7563914894656651,0.902581762446006,0.968091247486912,0.9905547703883592,0.7347855737170071,0.7563914894656651,0.7622173951044559,0.892788184007803,0.9626122180862711,0.9887184744311961,0.7230817414104606,0.7460540139561477,0.752809815325455
popularity,ml-32m,/Users/wmyh0416/Desktop/Rec/outputs/popularity_ml32m_final/popularity_counts.npy,0,0.7257257447841762,0.8747088799092303,0.959770686943886,0.9893952664370882,0.6977530248079182,0.7257257447841762,0.7333965913921527,0.8634323307522344,0.9532316818281347,0.9871757867707068,0.6860799858718503,0.7155742201429336,0.7243598680420092
bpr_mf,ml-32m,/Users/wmyh0416/Desktop/Rec/outputs/bpr_mf_ml32m_retrain/best.pt,12,0.7785746805260254,0.9120220156458387,0.9697085813245218,0.9899874594422438,0.7596420644064614,0.7786427698006858,0.7838772181590219,0.901248084081454,0.9643589386308896,0.9880566116607281,0.7453838547107997,0.7661535461742882,0.772274826866551
gru4rec,ml-32m,/Users/wmyh0416/Desktop/Rec/outputs/gru4rec_ml32m_final/best.pt,1,0.7279503170414131,0.8789388299460557,0.9609152616597328,0.9895545116149451,0.7009944421061357,0.7279503170414131,0.7353731924569143,0.8674283894340824,0.9548539920775524,0.987534088420885,0.6883558867916758,0.7170871903420463,0.7255494745919965
bert4rec,ml-32m,/Users/wmyh0416/Desktop/Rec/outputs/bert4rec_ml32m_final/best.pt,2,0.8160050125983163,0.9372275414535104,0.976556123972371,0.9906393693890957,0.8030167698164897,0.8160050125983163,0.8196422697563451,0.9281605191392798,0.972067400521528,0.9884248661345224,0.7888827445123251,0.8033676428416804,0.8075864074939085
dual_tower_retrieval,ml-32m,/Users/wmyh0416/Desktop/Rec/outputs/dual_tower_ml32m/best.pt,1,0.6517385246671257,0.7540308935645043,0.8418844676234648,0.9118030535262854,0.6239507877800826,0.6525255109050921,0.6703014125095388,0.7373350319485638,0.829627565340287,0.902263272090292,0.6050905961601385,0.6350761362090954,0.6535386989637624
